,Unnamed: 0,id,correct_answer,question,answer0,answer1,answer2,numResults_answer0,numResults_answer1,numResults_answer2,numResults_Qanswer0,numResults_Qanswer1,numResults_Qanswer2,numResults_Q,numResults_Qanswer0_quoted,numResults_Qanswer1_quoted,numResults_Qanswer2_quoted,appearances_answer0,appearances_answer1,appearances_answer2
0,0,1019753041464119296,Sears,An 1800s scam involving watches led directly to the founding of which of these companies?,Sears,Victorinox,Kay Jewelers,9190000,2370000,731000,638,63,410,15300,439,13,5,5,0,0
1,1,1019752695077404673,William Blake,A character named Orc appears as a protagonist in the work of what author?,JRR Tolkien,William Blake,Ray Bradbury,2390000,12000000,2250000,19500,3750,970,85000,13500,817,2290,0,0,0
2,2,1019752397919449089,Esquire,An original co-host of “20/20” was also the editor-in-chief of what magazine?,Esquire,Vanity Fair,Time,7800000,17600000,1680000000,3950,33500,63000,63200,276,492,9380,0,0,7
3,3,1019752059174780929,Enneadecagon,Which of these polygons has the most sides?,Trisdecagon,Enneadecagon,Octadecagon,10,773,1060,35,7040,44700,1680000,8,473,527,0,0,0
4,4,1019751848176218113,Butter,Sailors once gave avocados the nickname of “midshipman’s” what?,Butter,Jewel,Nut,49900000,37700000,34100000,38,41,24,5,4,9,3,4,0,1
5,5,1019751692190076928,Blade Runner,"Before hitting it big, the leading star of what film supported himself as a carpenter?",Blade Runner,Top Gun,Gladiator,7210000,165000000,10600000,16300,492000,39300,760000,24300,11600,8220,0,0,0
6,6,1019751545943068672,Easter Island,Rapa Nui is the indigenous name of what location?,Greenland,Mount Everest,Easter Island,64700000,4540000,23500000,23300,8780,23900,326000,20000,1630,20900,0,0,13
7,7,1019751324827766784,Harry Truman,Which US president had a middle name that was just a single letter?,Dwight Eisenhower,Harry Truman,Ronald Reagan,1270000,1490000,7080000,526000,479000,1800000,8560000,45500,46600,627000,0,2,0
8,8,1019751162344542208,Pitcher,Which baseball position stands several inches higher than the other players during the game?,Catcher,Pitcher,Shortstop,15000000,21400000,1300000,74000,306000,9410,737000,23400,29200,28900,1,4,0
9,9,1019750883616280576,Comic-Con,San Diego’s massive annual convention celebrating modern pop culture is known as what?,Comic-Con,Pop-Party,Game-Gathering,50600000,101000000,20000000,523000,796000,129000,1880000,130000,396,5,0,0,0
10,10,1019750751160193026,Sirloin,Which of these is a common cut of steak?,Sirloin,Ladyloin,Madameloin,8220000,846,179,50800,15,9,11300000,56500,0,0,0,0,0
11,11,1019660869796614144,Sheriff,What character did Tom Hanks play in the highest-grossing movie to star him?,Delivery man,Sheriff,War veteran,86200000,22400000,35200000,96400,104000,324000,779000,1500,88300,4760,0,0,0
12,12,1019660353121243136,Ratt,Which band made a music video featuring comedy legend Milton Berle as a woman?,Ratt,Poison,Quiet Riot,9080000,30000000,1680000,4970,4190,245,6660,47,307,69,4,0,0
13,13,1019660128214245377,Guam,Which of these is NOT considered part of Polynesia?,Samoa,Guam,Hawaii,74900000,67100000,77600000,14200000,7970000,1710000,17200000,13900000,12700000,1550000,1,0,5
14,14,1019659972316160001,Food,"In the 1800s, the term “hot mess” was often used to describe which of these things?",Literature,Religious services,Food,248000000,42900000,1410000000,1320,3110,3880,6730,1020,0,3510,0,0,0
15,15,1019659832415072257,Violet,What color stripe is at the bottom of a properly displayed LGBT pride flag?,Red,Pink,Violet,1620000000,766000000,195000000,28300,19200,16500,30700,309000,15400,43500,5,6,1
16,16,1019659570690576389,Happily,Which of these words is an adverb?,Happily,Happiness,Happy,17000000,114000000,433000000,540000,96500,595000,4730000,17500,72300,291000,0,0,0
17,17,1019659200039936002,Three in a row,"To win Tic-Tac-Toe, a player needs to get what?",The most Xs,The most Os,Three in a row,16600000,120000000,64300000,32700,206000,45900,262000,5,3,3020,0,0,0
18,18,1019404460278370304,Tour de France,Which of these sporting events takes the most days to complete?,Tour de France,Little League World Ser.,Wimbledon,117000000,36700000,10200000,8900000,21700000,762000,159000000,611000,1,702000,2,0,0
19,19,1019404241851637761,Chipper Jones,Which player won the MVP in a year he didn’t even make the All-Star team?,Chipper Jones,Reggie Jackson,Mark McGwire,228000,1700000,80600,9020,18600,7850,981000,8360,9660,4180,0,0,0
20,20,1019404035823165440,Carmelo Anthony,Which player scored 50 points in a game without a single point in the paint?,James Harden,Carmelo Anthony,Steph Curry,6720000,4400000,2080000,19000,55500,31000,3210000,9060,11300,9050,0,2,0
21,21,1019403885994274816,Sweden,What is the only nation besides Canada or the US to get a silver medal in women’s Olympic hockey?,Sweden,Russia,Finland,111000000,808000000,89000000,48500,65200,33900,25000,6210,10400,4860,0,0,1
22,22,1019403735896936448,Tennis,The first solo woman to be named Sports Illustrated’s Sportsperson of the Year played what sport?,Golf,Tennis,Soccer,191000000,96200000,118000000,14200,58700,57200,43500,50500,19700,18600,0,6,2
23,23,1019403563762626561,George Foreman,Who was NOT one of the five fighters to defeat Muhammad Ali?,George Foreman,Ken Norton,Joe Frazier,2710000,1630000,1060000,16000,9720,43500,1240000,13400,8060,13600,2,0,0
24,24,1019403378596696067,Goose Gossage,Who has blown the most saves in Major League history?,Goose Gossage,Lee Smith,Trevor Hoffman,14000,42400000,684000,1390,860000,68800,2090000,931,6650,3410,0,0,0
25,25,1019403228910366721,Italy,Which of these nations has played in the greatest number of World Cup matches?,Italy,Argentina,England,371000000,198000000,122000000,7960000,5310000,15000000,28900000,5380000,1920000,10200000,1,3,0
26,26,1019403079987458048,Plaxico Burress,What New York Giant made the winning score to beat the Patriots in Super Bowl XLII?,Plaxico Burress,David Tyree,Amani Toomer,18600,320000,7530,1200,7780,721,361000,1990,1390,574,1,1,0
27,27,1019402870070960128,Catcher,"On the MLB All-Star team, which starting position is chosen by fan vote?",NL designated hitter,Pitcher,Catcher,34700,21400000,15000000,32900,37600,41500,65600,4,18200,36300,0,5,0
28,28,1019402604475047936,Tiger Woods,Which athlete’s real first name is Eldrick?,Tiger Woods,Ronaldinho,Magic Johnson,31600000,2970000,23300000,2210,25,549,2380,1720,10,111,7,0,1
29,29,1019402461503787008,Scott Rogowsky,Which of these icons just played in the MLB All-Star Celebrity Softball Game?,Ty Cobb,Air Bud,Scott Rogowsky,597000,14400000,19800,5810,9840,402,62400,1390,195,30,0,0,0
30,30,1019389860132655107,Vera Wang,Who created wedding dresses for the two most recently married first daughters?,Vera Wang,Ralph Lauren,Donna Karan,5470000,37100000,1260000,301000,1030000,52200,26800000,283000,452000,38800,0,0,0
31,31,1019389500538179584,Guatemala,Which of these nations does NOT depict a rainbow on its current national flag?,El Salvador,Guatemala,Nicaragua,72100000,75300000,88500000,2370,2230,11400,31500,7450,14300,1270,0,0,0
32,32,1019389347978792960,Sunset,Catholic Priests traditionally conduct “vespers” at around what time?,Sunset,Sunrise,Midnight,78100000,42900000,72300000,793,490,7540,7400,5370,417,7450,2,0,0
33,33,1019389147730018309,Shrinking,"In the original Super Mario Bros. game, Mario entering a pipe sounds the same as what?",Getting a 1-UP,Shrinking,Getting a vine,1330000000,53700000,20300000,336000,193000,10500,59700,5,1030,0,0,0,0
34,34,1019388986295504897,Not at all,"In Spanish, the phrase “en absoluto” usually means which of these things?",Maybe,Not at all,Yesterday,132000000,3460000000,306000000,4730,26700,9920,10500,2690,574,666,0,3,0
35,35,1019388826962317313,Horses,"In George Orwell’s allegorical book “Animal Farm,” what species represented the working classes?",Ravens,Horses,Pigs,40500000,195000000,48300000,1490,1770,2620,6340,104,598,2240,0,0,1
36,36,1019388657260810247,Brass,What is a trumpet typically made out of?,Nickel,Aluminum,Brass,42400000,60500000,62600000,50900,76800,469000,1410000,22500,56400,303000,1,0,8
37,37,1019388416407035904,Magic mirror,"In Disney’s “Snow White and the Seven Dwarfs,” how does the Queen address her mirror?",Magic mirror,Faithful mirror,"Mirror, mirror",34700000,1280000,122000000,65100,9370,64100,75200,13100,2,11200,9,0,0
38,38,1019388240472760325,Japan,Which of these countries’ capital cities has the highest population?,Spain,Germany,Japan,345000000,368000000,1370000000,2960000,6490000,4820000,35500000,1520000,1840000,2760000,0,0,0
39,39,1019388097589579777,Microsoft,Who makes the computer operating system most famous for the “Blue Screen of Death”?,Microsoft,Apple,Linux,128000000,317000000,56500000,19400,9190,8210,20100,13700,9280,6260,3,0,0
40,40,1019387889258508288,Elevated,"Chicago’s rapid transit system is nicknamed “the L,” which is short for what?",Elevated,Elvish,’Ello!,23000000,1050000,40400000,66000,516,1650,9470,2320,4,1790,12,0,0
